iter	Passed	Remaining
156	2106	11308
157	2118	11292
158	2132	11276
159	2144	11257
160	2154	11229
161	2167	11209
162	2178	11187
163	2191	11173
164	2206	11168
165	2219	11152
166	2232	11134
167	2244	11115
168	2257	11098
169	2270	11085
170	2285	11079
171	2299	11069
172	2317	11079
173	2329	11056
174	2342	11043
175	2353	11020
176	2367	11009
177	2379	10990
178	2393	10977
179	2406	10962
180	2418	10943
181	2430	10924
182	2443	10910
183	2456	10894
184	2468	10873
185	2482	10864
186	2495	10849
187	2509	10837
188	2521	10819
189	2534	10804
190	2546	10787
191	2560	10773
192	2569	10745
193	2582	10730
194	2594	10709
195	2608	10700
196	2620	10682
197	2637	10682
198	2650	10670
199	2662	10650
200	2675	10633
201	2686	10614
202	2701	10606
203	2714	10591
204	2728	10580
205	2740	10563
206	2750	10537
207	2764	10525
208	2775	10503
209	2787	10487
210	2800	10470
211	2814	10462
212	2826	10441
213	2838	10426
214	2849	10405
215	2862	10389
216	2874	10371
217	2887	10357
218	2898	10338
219	2912	10324
220	2924	10309
221	2934	10284
222	2947	10271
223	2964	10269
224	2979	10261
225	2991	10243
226	3006	10237
227	3020	10227
228	3034	10215
229	3045	10196
230	3057	10179
231	3069	10161
232	3082	10147
233	3095	10133
234	3108	10120
235	3120	10100
236	3132	10083
237	3143	10065
238	3157	10052
239	3170	10039
240	3182	10023
241	3195	10009
242	3208	9995
243	3221	9981
244	3235	9970
245	3245	9948
246	3260	9938
247	3273	9927
248	3286	9911
249	3303	9911
250	3315	9894
251	3325	9871
252	3338	9857
253	3352	9844
254	3364	9830
255	3377	9815
256	3390	9801
257	3401	9783
258	3414	9768
259	3425	9749
260	3439	9738
261	3453	9728
262	3466	9713
263	3480	9703
264	3490	9681
265	3503	9666
266	3516	9653
267	3528	9636
268	3539	9617
269	3552	9604
270	3565	9591
271	3577	9575
272	3590	9562
273	3603	9547
274	3619	9542
275	3635	9535
276	3647	9519
277	3657	9500
278	3671	9488
279	3686	9478
280	3697	9462
281	3710	9447
282	3722	9430
283	3735	9416
284	3746	9398
285	3759	9386
286	3772	9371
287	3783	9353
288	3796	9339
289	3809	9326
290	3819	9306
291	3833	9295
292	3844	9277
293	3857	9262
294	3869	9246
295	3883	9235
296	3894	9219
297	3905	9201
298	3919	9189
299	3933	9177
300	3945	9162
301	3961	9155
302	3977	9149
303	3987	9129
304	4003	9121
305	4014	9105
306	4027	9090
307	4040	9079
308	4053	9064
309	4068	9055
310	4080	9040
311	4094	9028
312	4106	9013
313	4116	8993
314	4129	8980
315	4141	8964
316	4151	8944
317	4164	8931
318	4178	8920
319	4189	8901
320	4201	8888
321	4213	8870
322	4227	8859
323	4237	8840
324	4250	8828
325	4268	8824
326	4283	8815
327	4299	8808
328	4313	8796
329	4324	8779
330	4336	8764
331	4348	8748
332	4361	8735
333	4373	8720
334	4388	8711
335	4401	8697
336	4413	8683
337	4425	8667
338	4437	8652
339	4450	8638
340	4462	8624
341	4476	8611
342	4489	8598
343	4502	8585
344	4514	8570
345	4527	8557
346	4540	8543
347	4551	8528
348	4563	8513
349	4575	8497
350	4592	8491
351	4607	8482
352	4621	8471
353	4632	8453
354	4644	8437
355	4657	8425
356	4671	8414
357	4684	8400
358	4695	8384
359	4709	8372
360	4721	8357
361	4734	8344
362	4744	8325
363	4757	8313
364	4769	8297
365	4784	8287
366	4802	8282
367	4813	8266
368	4824	8250
369	4838	8239
370	4851	8225
371	4862	8209
372	4874	8193
373	4887	8180
374	4900	8167
375	4914	8156
376	4927	8142
377	4940	8130
378	4954	8118
379	4968	8106
380	4981	8093
381	4995	8082
382	5007	8067
383	5021	8055
384	5034	8042
385	5049	8031
386	5062	8018
387	5072	8001
388	5085	7987
389	5098	7974
390	5108	7957
391	5122	7944
392	5136	7933
393	5149	7919
394	5162	7907
395	5175	7893
396	5186	7878
397	5200	7865
398	5212	7851
399	5225	7838
400	5242	7830
401	5255	7818
402	5269	7805
403	5281	7791
404	5295	7780
405	5307	7765
406	5319	7750
407	5329	7733
408	5342	7720
409	5356	7707
410	5368	7692
411	5381	7679
412	5393	7665
413	5404	7649
414	5419	7638
415	5430	7623
416	5443	7610
417	5455	7596
418	5468	7582
419	5479	7566
420	5492	7553
421	5505	7540
422	5517	7526
423	5531	7514
424	5542	7498
425	5558	7489
426	5570	7474
427	5584	7462
428	5596	7449
429	5608	7433
430	5622	7422
431	5634	7408
432	5649	7397
433	5662	7385
434	5675	7371
435	5688	7358
436	5699	7342
437	5712	7330
438	5727	7318
439	5740	7305
440	5750	7289
441	5764	7276
442	5778	7265
443	5791	7252
444	5804	7239
445	5815	7223
446	5827	7209
447	5838	7194
448	5852	7182
449	5865	7169
450	5879	7157
451	5897	7150
452	5921	7150
453	5934	7137
454	5946	7123
455	5960	7110
456	5974	7098
457	5987	7086
458	6001	7073
459	6012	7058
460	6027	7047
461	6039	7033
462	6053	7021
463	6065	7006
464	6077	6992
465	6091	6979
466	6102	6964
467	6116	6952
468	6127	6937
469	6142	6927
470	6155	6913
471	6167	6899
472	6180	6885
473	6193	6873
474	6209	6862
475	6223	6851
476	6236	6838
477	6250	6826
478	6264	6813
479	6277	6800
480	6292	6789
481	6306	6777
482	6316	6761
483	6327	6746
484	6339	6731
485	6352	6718
486	6365	6705
487	6376	6690
488	6389	6676
489	6404	6665
490	6418	6653
491	6431	6640
492	6442	6625
493	6456	6613
494	6467	6597
495	6479	6584
496	6490	6568
497	6502	6554
498	6514	6540
499	6526	6526
500	6548	6522
501	6561	6509
502	6573	6495
503	6587	6482
504	6599	6468
505	6611	6454
506	6624	6441
507	6635	6426
508	6649	6414
509	6661	6400
510	6674	6387
511	6687	6374
512	6698	6359
513	6711	6345
514	6722	6330
515	6737	6319
516	6749	6305
517	6761	6291
518	6774	6278
519	6785	6263
520	6800	6252
521	6814	6239
522	6825	6225
523	6838	6212
524	6849	6197
525	6865	6187
526	6879	6174
527	6892	6161
528	6903	6146
529	6916	6133
530	6931	6122
531	6945	6110
532	6957	6095
533	6969	6081
534	6982	6068
535	6996	6056
536	7011	6045
537	7025	6032
538	7040	6021
539	7053	6008
540	7066	5995
541	7080	5983
542	7092	5969
543	7107	5957
544	7118	5943
545	7129	5928
546	7142	5914
547	7155	5901
548	7164	5885
549	7178	5873
550	7195	5863
551	7207	5849
552	7220	5836
553	7232	5822
554	7247	5810
555	7259	5797
556	7273	5784
557	7285	5771
558	7296	5755
559	7308	5742
560	7319	5728
561	7331	5713
562	7342	5699
563	7356	5687
564	7370	5674
565	7381	5659
566	7394	5646
567	7407	5633
568	7421	5621
569	7433	5607
570	7445	5593
571	7460	5582
572	7473	5569
573	7485	5555
574	7499	5542
575	7514	5531
576	7528	5518
577	7539	5504
578	7552	5491
579	7564	5477
580	7579	5466
581	7591	5452
582	7605	5440
583	7618	5427
584	7631	5413
585	7642	5399
586	7656	5386
587	7668	5372
588	7680	5359
589	7691	5344
590	7704	5331
591	7717	5319
592	7731	5306
593	7741	5291
594	7754	5278
595	7766	5264
596	7777	5249
597	7790	5237
598	7803	5223
599	7815	5210
600	7828	5197
601	7843	5185
602	7856	5172
603	7868	5158
604	7881	5145
605	7891	5130
606	7905	5118
607	7918	5105
608	7932	5092
609	7943	5078
610	7955	5064
611	7968	5051
612	7980	5037
613	7993	5024
614	8004	5011
615	8019	4999
616	8031	4985
617	8043	4971
618	8053	4957
619	8066	4943
620	8080	4931
621	8092	4918
622	8106	4905
623	8118	4891
624	8129	4877
625	8142	4864
626	8152	4850
627	8169	4839
628	8181	4825
629	8195	4813
630	8209	4800
631	8224	4788
632	8235	4775
633	8249	4762
634	8261	4748
635	8274	4735
636	8285	4721
637	8297	4708
638	8310	4695
639	8323	4681
640	8334	4667
641	8347	4654
642	8359	4641
643	8373	4628
644	8384	4614
645	8397	4601
646	8410	4588
647	8422	4575
648	8434	4561
649	8448	4549
650	8460	4535
651	8474	4523
652	8490	4511
653	8501	4497
654	8516	4485
655	8528	4472
656	8541	4459
657	8556	4447
658	8566	4432
659	8579	4419
660	8592	4406
661	8605	4393
662	8617	4380
663	8631	4367
664	8644	4354
665	8655	4340
666	8666	4326
667	8677	4312
668	8692	4300
669	8705	4287
670	8719	4275
671	8729	4260
672	8743	4248
673	8757	4235
674	8769	4222
675	8782	4209
676	8792	4195
677	8805	4182
678	8821	4170
679	8834	4157
680	8846	4144
681	8858	4130
682	8870	4117
683	8883	4104
684	8896	4091
685	8908	4077
686	8922	4065
687	8936	4052
688	8948	4039
689	8961	4026
690	8974	4013
691	8987	4000
692	9000	3987
693	9013	3974
694	9028	3961
695	9045	3950
696	9066	3941
697	9081	3929
698	9097	3917
699	9110	3904
700	9123	3891
701	9141	3880
702	9156	3868
703	9171	3856
704	9183	3842
705	9197	3830
706	9212	3818
707	9228	3805
708	9241	3793
709	9256	3780
710	9271	3768
711	9284	3755
712	9296	3742
713	9309	3728
714	9320	3714
715	9333	3701
716	9346	3688
717	9359	3675
718	9371	3662
719	9385	3649
720	9398	3636
721	9409	3623
722	9420	3609
723	9432	3595
724	9446	3583
725	9460	3570
726	9475	3558
727	9488	3545
728	9501	3532
729	9514	3519
730	9527	3506
731	9541	3493
732	9552	3479
733	9565	3466
734	9578	3453
735	9592	3440
736	9604	3427
737	9618	3414
738	9631	3401
739	9644	3388
740	9657	3375
741	9668	3361
742	9681	3348
743	9695	3335
744	9708	3323
745	9719	3309
746	9731	3296
747	9745	3283
748	9757	3269
749	9770	3256
750	9782	3243
751	9797	3231
752	9809	3217
753	9822	3204
754	9835	3191
755	9845	3177
756	9858	3164
757	9872	3151
758	9883	3138
759	9898	3125
760	9912	3113
761	9926	3100
762	9937	3086
763	9949	3073
764	9962	3060
765	9975	3047
766	9986	3033
767	9998	3020
768	10010	3007
769	10023	2994
770	10037	2981
771	10051	2968
772	10061	2954
773	10075	2941
774	10087	2928
775	10102	2916
776	10114	2902
777	10127	2889
778	10146	2878
779	10158	2865
780	10171	2852
781	10185	2839
782	10197	2826
783	10211	2813
784	10225	2800
785	10238	2787
786	10251	2774
787	10260	2760
788	10273	2747
789	10285	2734
790	10298	2721
791	10311	2708
792	10324	2695
793	10335	2681
794	10347	2668
795	10359	2654
796	10372	2641
797	10384	2628
798	10396	2615
799	10407	2601
800	10422	2589
801	10433	2575
802	10446	2562
803	10456	2549
804	10473	2537
805	10484	2523
806	10498	2510
807	10511	2497
808	10525	2485
809	10538	2471
810	10551	2458
811	10562	2445
812	10574	2432
813	10584	2418
814	10597	2405
815	10608	2392
816	10622	2379
817	10635	2366
818	10648	2353
819	10661	2340
820	10671	2326
821	10684	2313
822	10696	2300
823	10709	2287
824	10720	2273
825	10733	2261
826	10746	2248
827	10760	2235
828	10771	2221
829	10785	2208
830	10799	2196
831	10812	2183
832	10824	2170
833	10836	2156
834	10849	2143
835	10862	2130
836	10877	2118
837	10890	2105
838	10903	2092
839	10916	2079
840	10929	2066
841	10943	2053
842	10955	2040
843	10970	2027
844	10983	2014
845	10995	2001
846	11008	1988
847	11020	1975
848	11032	1962
849	11045	1949
850	11059	1936
851	11076	1924
852	11089	1911
853	11102	1898
854	11119	1885
855	11128	1872
856	11142	1859
857	11155	1846
858	11169	1833
859	11184	1820
860	11195	1807
861	11207	1794
862	11222	1781
863	11234	1768
864	11246	1755
865	11258	1742
866	11270	1728
867	11282	1715
868	11294	1702
869	11308	1689
870	11321	1676
871	11335	1663
872	11349	1651
873	11360	1637
874	11372	1624
875	11384	1611
876	11397	1598
877	11407	1585
878	11420	1572
879	11432	1559
880	11449	1546
881	11460	1533
882	11473	1520
883	11487	1507
884	11499	1494
885	11514	1481
886	11526	1468
887	11539	1455
888	11553	1442
889	11564	1429
890	11577	1416
891	11587	1402
892	11600	1389
893	11613	1377
894	11628	1364
895	11639	1351
896	11653	1338
897	11666	1325
898	11679	1312
899	11693	1299
900	11704	1286
901	11718	1273
902	11729	1259
903	11742	1246
904	11753	1233
905	11769	1221
906	11782	1208
907	11795	1195
908	11809	1182
909	11822	1169
910	11834	1156
911	11846	1143
912	11859	1130
913	11872	1117
914	11884	1104
915	11895	1090
916	11908	1077
917	11919	1064
918	11933	1051
919	11948	1039
920	11961	1025
921	11973	1012
922	11985	999
923	11998	986
924	12013	974
925	12025	961
926	12037	947
927	12047	934
928	12060	921
929	12071	908
930	12086	895
931	12106	883
932	12117	870
933	12131	857
934	12142	844
935	12155	831
936	12169	818
937	12182	805
938	12196	792
939	12209	779
940	12223	766
941	12234	753
942	12249	740
943	12261	727
944	12273	714
945	12286	701
946	12298	688
947	12313	675
948	12325	662
949	12338	649
950	12350	636
951	12363	623
952	12376	610
953	12388	597
954	12401	584
955	12412	571
956	12430	558
957	12441	545
958	12453	532
959	12464	519
960	12479	506
961	12492	493
962	12504	480
963	12516	467
964	12528	454
965	12543	441
966	12555	428
967	12569	415
968	12583	402
969	12595	389
970	12609	376
971	12621	363
972	12633	350
973	12644	337
974	12658	324
975	12671	311
976	12684	298
977	12696	285
978	12710	272
979	12725	259
980	12742	246
981	12756	233
982	12768	220
983	12781	207
984	12794	194
985	12807	181
986	12821	168
987	12830	155
988	12843	142
989	12855	129
990	12868	116
991	12881	103
992	12895	90
993	12905	77
994	12918	64
995	12930	51
996	12942	38
997	12954	25
998	12968	12
999	12979	0
