iter	Logloss
348	0.1031679077
349	0.1030067203
350	0.10289406
351	0.1027087293
352	0.1024939603
353	0.1024423515
354	0.1023357663
355	0.1022448763
356	0.1020917636
357	0.1020673843
358	0.1019335798
359	0.1017854011
360	0.1016954672
361	0.1015917938
362	0.1014576072
363	0.1013485453
364	0.1012722222
365	0.1010925435
366	0.1010330424
367	0.1010104381
368	0.1009504496
369	0.1008159639
370	0.1006873763
371	0.1006751721
372	0.1005736387
373	0.1004920391
374	0.1004129744
375	0.1003980891
376	0.1003381119
377	0.1003169822
378	0.1001807584
379	0.1000774899
380	0.0999161866
381	0.0997949901
382	0.09963549461
383	0.0996158277
384	0.0995482561
385	0.09936644205
386	0.09926301687
387	0.09918561622
388	0.09914828417
389	0.0990188831
390	0.0989277441
391	0.09889703037
392	0.09881536094
393	0.09868238328
394	0.0985210743
395	0.09848154959
396	0.09832743561
397	0.09829968567
398	0.09818886762
399	0.09815634201
400	0.09807535821
401	0.09797884374
402	0.09781805491
403	0.09766495504
404	0.09752753666
405	0.09735423241
406	0.09728502765
407	0.09720785031
408	0.09719514776
409	0.09705590846
410	0.09703322365
411	0.0968964021
412	0.09687046947
413	0.09673595746
414	0.09662882422
415	0.09651992431
416	0.09650871142
417	0.0963979842
418	0.09629365663
419	0.09612491052
420	0.09609002261
421	0.09595028325
422	0.09579684467
423	0.09569052517
424	0.09567190566
425	0.09558967241
426	0.09548119105
427	0.09534905352
428	0.09524968743
429	0.09509677292
430	0.09500253315
431	0.09486498034
432	0.09474748054
433	0.09460939256
434	0.09453059218
435	0.09438311771
436	0.09429427712
437	0.0941675585
438	0.09406663766
439	0.09396946066
440	0.09384072236
441	0.09374050344
442	0.09365712707
443	0.09351010062
444	0.09336730447
445	0.09325340698
446	0.09323984711
447	0.09316771015
448	0.09300721091
449	0.09291394168
450	0.09280624336
451	0.09264237845
452	0.09252664555
453	0.09242006042
454	0.09235657607
455	0.09222358934
456	0.09209930607
457	0.09205324605
458	0.09189393405
459	0.09182380695
460	0.09172798913
461	0.09166035536
462	0.09152370047
463	0.09144204617
464	0.09133763561
465	0.09124080049
466	0.09116928127
467	0.09107620492
468	0.09099432203
469	0.09092450048
470	0.09080514114
471	0.09077788818
472	0.09071371899
473	0.09065273324
474	0.0905596728
475	0.09046919057
476	0.09031575585
477	0.09022561687
478	0.0900927263
479	0.08998991926
480	0.08987350314
481	0.08975191324
482	0.08970903263
483	0.08964337679
484	0.08953562591
485	0.08938722107
486	0.08936641121
487	0.08931702797
488	0.08930801524
489	0.0892148021
490	0.08911465144
491	0.08899852283
492	0.08897965294
493	0.08887864413
494	0.08887021984
495	0.08878408959
496	0.08864019923
497	0.0886320875
498	0.0885118114
499	0.08843281401
500	0.08833268287
501	0.08826922125
502	0.08816107222
503	0.08806262829
504	0.08804875858
505	0.08795318347
506	0.08785513911
507	0.08774608672
508	0.08762654355
509	0.08749926004
510	0.08741155676
511	0.08732311982
512	0.08731619781
513	0.08720764937
514	0.0871217712
515	0.08700789732
516	0.08696875367
517	0.08686764787
518	0.08676970199
519	0.08672531433
520	0.08664756213
521	0.08654528891
522	0.08648255439
523	0.08637270995
524	0.08631911615
525	0.08622445632
526	0.08612144652
527	0.08610855132
528	0.08601741699
529	0.08593992109
530	0.08583872124
531	0.08575774751
532	0.08567395726
533	0.08556660205
534	0.08555431829
535	0.08546181814
536	0.08535393861
537	0.08528157092
538	0.08518312779
539	0.08510614913
540	0.08500550161
541	0.08496649236
542	0.08491373621
543	0.08482340242
544	0.08471646498
545	0.08465333101
546	0.08462448681
547	0.08454206969
548	0.0844431978
549	0.08437150402
550	0.0842823279
551	0.08422410261
552	0.08417275326
553	0.08409293539
554	0.08407515411
555	0.0840154498
556	0.08390824122
557	0.08381526904
558	0.0837197204
559	0.08361419857
560	0.08351345932
561	0.08346227456
562	0.08338457639
563	0.08334201171
564	0.08322293222
565	0.08315347594
566	0.08305850303
567	0.08301013329
568	0.08285405333
569	0.08277970911
570	0.0827057788
571	0.08260610501
572	0.08254720627
573	0.08246705081
574	0.08239762381
575	0.08232113003
576	0.0822515856
577	0.08216479723
578	0.08207080654
579	0.08203024961
580	0.08194714438
581	0.08186763526
582	0.08178541082
583	0.08169478638
584	0.08164184134
585	0.08156521695
586	0.0815195129
587	0.08147459601
588	0.08142845446
589	0.08137139044
590	0.08134282498
591	0.08128300673
592	0.08122841738
593	0.08117881197
594	0.08108521633
595	0.08106358552
596	0.08104303022
597	0.08099212136
598	0.08096151654
599	0.08088873767
600	0.08082714256
601	0.08076143727
602	0.08068503161
603	0.08058098963
604	0.0804822539
605	0.08043955678
606	0.08035906689
607	0.08030090312
608	0.08024778127
609	0.08021590952
610	0.0801606253
611	0.0801291111
612	0.0800716146
613	0.07992560203
614	0.07986399027
615	0.07977430134
616	0.07971194244
617	0.07968497856
618	0.07964587553
619	0.07955389374
620	0.07946292637
621	0.07937595879
622	0.07935586816
623	0.0792581052
624	0.07922004561
625	0.07917464006
626	0.0790767722
627	0.07900762372
628	0.07894570804
629	0.07886087524
630	0.07876463217
631	0.07866467617
632	0.07863917244
633	0.07857196398
634	0.07845420162
635	0.0783317636
636	0.07819339155
637	0.07812519028
638	0.07808464319
639	0.07803097691
640	0.07787832024
641	0.07779806217
642	0.07771790583
643	0.07764761301
644	0.07758095332
645	0.07749158797
646	0.07741162668
647	0.0773968197
648	0.07735707363
649	0.07730568301
650	0.07721107101
651	0.07714434992
652	0.07707969073
653	0.07703541742
654	0.07696393362
655	0.07687964827
656	0.07681420696
657	0.07672824394
658	0.07666762095
659	0.07655043088
660	0.07649715875
661	0.07646168608
662	0.07639964142
663	0.0763486552
664	0.07628473767
665	0.07625439102
666	0.07622806172
667	0.07620209181
668	0.07611739847
669	0.07601702142
670	0.07594221852
671	0.07587311264
672	0.07577833859
673	0.0757328888
674	0.07571135994
675	0.07564947818
676	0.07562556331
677	0.07559664234
678	0.07554760987
679	0.07547415207
680	0.07546077769
681	0.07539744085
682	0.07530911717
683	0.07527849532
684	0.07518773344
685	0.07509058383
686	0.0750090995
687	0.07494090685
688	0.07490076212
689	0.07483748891
690	0.07477867799
691	0.07474816481
692	0.07467196044
693	0.07458572026
694	0.07452408127
695	0.07447774109
696	0.07435671353
697	0.07427660253
698	0.07423632717
699	0.07418774327
700	0.07411692724
701	0.07405890517
702	0.07400637751
703	0.07394938255
704	0.07392308922
705	0.07383538552
706	0.07379128909
707	0.07370167736
708	0.0736440334
709	0.0735867423
710	0.07349447863
711	0.07342916768
712	0.07334699051
713	0.07331460129
714	0.07327578729
715	0.07322584683
716	0.07318333723
717	0.07313436836
718	0.07307049164
719	0.0730013314
720	0.07295775036
721	0.07293157314
722	0.07285421415
723	0.07280173822
724	0.07277549119
725	0.07267970285
726	0.07263402294
727	0.07259061285
728	0.07253189433
729	0.0724726867
730	0.07237861695
731	0.07230907747
732	0.07227785756
733	0.07221652837
734	0.07216320404
735	0.07212483513
736	0.07211791978
737	0.07202949597
738	0.07198045926
739	0.07195514567
740	0.07190486584
741	0.0718164161
742	0.07180928191
743	0.07174345431
744	0.07171933925
745	0.07161827557
746	0.07159112859
747	0.07154862704
748	0.0714875614
749	0.07138220294
750	0.07134706704
751	0.07127117296
752	0.07122110924
753	0.07118055415
754	0.07109856869
755	0.07109121718
756	0.07107112604
757	0.07103764499
758	0.07098795429
759	0.07092095313
760	0.07088359291
761	0.07082131105
762	0.07080564639
763	0.07077880495
764	0.07076438984
765	0.07072063079
766	0.07068381895
767	0.07067732566
768	0.07062028957
769	0.07053531846
770	0.07045679018
771	0.07038836712
772	0.07034416787
773	0.07030601693
774	0.07025543756
775	0.07019327571
776	0.07016223318
777	0.07009637652
778	0.07002481782
779	0.06999496762
780	0.06992588851
781	0.06989070121
782	0.06983665422
783	0.06979415772
784	0.06977229885
785	0.06970801068
786	0.06966387858
787	0.0696397229
788	0.06958754591
789	0.06957440552
790	0.06951174805
791	0.06945478174
792	0.06941842654
793	0.06941246991
794	0.06934492581
795	0.06923320138
796	0.06916696065
797	0.06911791621
798	0.06909196249
799	0.06903653411
800	0.06898076406
801	0.06894925122
802	0.06886906764
803	0.06883099793
804	0.068729574
805	0.0686950655
806	0.06866014787
807	0.06860912096
808	0.06854432906
809	0.06847302377
810	0.06838209508
811	0.0683658627
812	0.06835499659
813	0.06832161512
814	0.0682680533
815	0.06818422153
816	0.06812423479
817	0.06803674929
818	0.0679714026
819	0.0679386381
820	0.06787878534
821	0.06781006273
822	0.06776477886
823	0.06771677548
824	0.06764677059
825	0.0675738604
826	0.06749813694
827	0.06739322469
828	0.06734010977
829	0.06728438301
830	0.06720961184
831	0.06714777332
832	0.06713176845
833	0.06709456006
834	0.06704130704
835	0.06696542368
836	0.06688940072
837	0.06681850853
838	0.06671894517
839	0.0666359028
840	0.06658345597
841	0.06651064632
842	0.06647656587
843	0.0664224995
844	0.06637542429
845	0.06632194428
846	0.06630986615
847	0.06625597999
848	0.06624635542
849	0.0661629472
850	0.066140613
851	0.06610375488
852	0.06603844668
853	0.06602720312
854	0.06598752015
855	0.06598132084
856	0.06594078954
857	0.06586333502
858	0.06581209311
859	0.06576779322
860	0.06570458495
861	0.06561634789
862	0.06555214966
863	0.06554618112
864	0.06551528658
865	0.06546154457
866	0.06541400551
867	0.06534891642
868	0.06532892984
869	0.0652860178
870	0.06522148151
871	0.06510947616
872	0.06507826611
873	0.0650149938
874	0.06500946249
875	0.06498466146
876	0.06495010551
877	0.06488916955
878	0.06485979921
879	0.06482323866
880	0.06478413716
881	0.06474015381
882	0.06466859442
883	0.06462734361
884	0.06455328284
885	0.06450204113
886	0.06448750707
887	0.06444299789
888	0.06439965351
889	0.06435104163
890	0.06434108669
891	0.06432168089
892	0.06426958246
893	0.06420285445
894	0.06414879921
895	0.06414375087
896	0.06409863388
897	0.06406080056
898	0.06399709554
899	0.06395144472
900	0.06392837035
901	0.06392147991
902	0.06391666089
903	0.0638558366
904	0.06379922296
905	0.0637929657
906	0.06374578864
907	0.06370695079
908	0.06363799669
909	0.06360050657
910	0.0635563581
911	0.0635106395
912	0.06346650824
913	0.06342905614
914	0.06336352276
915	0.06330393008
916	0.06328981027
917	0.06324282136
918	0.06317589677
919	0.06312815865
920	0.06308460625
921	0.06302240216
922	0.06301308137
923	0.06296585127
924	0.06292081002
925	0.06287618997
926	0.06285786282
927	0.06281318726
928	0.06276043731
929	0.06274549414
930	0.06269121658
931	0.06261181991
932	0.06260802408
933	0.06257090148
934	0.062512767
935	0.06249478978
936	0.06243713443
937	0.06239650987
938	0.06231794153
939	0.0622609862
940	0.06221603065
941	0.06215580569
942	0.06211227599
943	0.06205273873
944	0.06198515129
945	0.0619588114
946	0.06189689972
947	0.06186038019
948	0.06180436906
949	0.0617584899
950	0.06174174766
951	0.06169233213
952	0.06162164918
953	0.06154522611
954	0.06151964765
955	0.06147808711
956	0.0614340291
957	0.06138270066
958	0.06135630337
959	0.06133334256
960	0.06127818098
961	0.06122755227
962	0.06122327617
963	0.0611839762
964	0.06114560148
965	0.06109854132
966	0.06105861586
967	0.06098421284
968	0.0609474034
969	0.06088000957
970	0.06083201112
971	0.06078466575
972	0.06071267958
973	0.06066920748
974	0.06062927652
975	0.06058039704
976	0.06051304555
977	0.06047243246
978	0.06043765205
979	0.06038165649
980	0.06031202382
981	0.06025050372
982	0.0602111038
983	0.0601666567
984	0.060127196
985	0.060111493
986	0.06010649127
987	0.06010500707
988	0.06007026525
989	0.06001244889
990	0.05998132608
991	0.05994586164
992	0.05990430842
993	0.05983797279
994	0.05979439023
995	0.05976188159
996	0.05973921328
997	0.05968855935
998	0.05963675542
999	0.05960276552
